HOSTS	CAMPANIAS	EXTENSIONES	STAFF	IPS	No
g58b22	BANCO	7211	N2S1	172.24.72.11	455
g54o11	BANCO	7288	N2S4	172.24.72.88	462
g58b21	BANCO	7210	N2S1	172.24.72.10	487
g54o10	BANCO	7287	N2S4	172.24.72.87	494
g58b20	BANCO	7209	N2S1	172.24.72.9	519
g56o20	BANCO	7231	N2S2	172.24.72.31	521
g56b20	BANCO	7253	N2S3	172.24.72.53	523
g56b10	BANCO	7264	N2S3	172.24.72.64	524
g54o9	BANCO	7286	N2S4	172.24.72.86	526
g58b19	BANCO	7208	N2S1	172.24.72.8	551
g58b8	BANCO	7219	N2S1	172.24.72.19	552
g56o19	BANCO	7230	N2S2	172.24.72.30	553
g56o8	BANCO	7241	N2S2	172.24.72.41	554
g56b19	BANCO	7252	N2S3	172.24.72.52	555
g56b8	BANCO	7263	N2S3	172.24.72.63	556
g54o19	BANCO	7274	N2S4	172.24.72.74	557
g54o8	BANCO	7285	N2S4	172.24.72.85	558
g58b18	BANCO	7207	N2S1	172.24.72.7	583
g58b7	BANCO	7218	N2S1	172.24.72.18	584
g56o18	BANCO	7229	N2S2	172.24.72.29	585
g56o7	BANCO	7240	N2S2	172.24.72.40	586
g56b7	BANCO	7262	N2S3	172.24.72.62	588
g54o18	BANCO	7273	N2S4	172.24.72.73	589
g54o7	BANCO	7284	N2S4	172.24.72.84	590
g58b17	BANCO	7206	N2S1	172.24.72.6	615
g58b6	BANCO	7217	N2S1	172.24.72.17	616
g56o17	BANCO	7228	N2S2	172.24.72.28	617
g56o6	BANCO	7239	N2S2	172.24.72.39	618
g56b17	BANCO	7250	N2S3	172.24.72.50	619
g56b6	BANCO	7261	N2S3	172.24.72.61	620
g54o17	BANCO	7272	N2S4	172.24.72.72	621
g54o6	BANCO	7283	N2S4	172.24.72.83	622
g58b16	BANCO	7205	N2S1	172.24.72.5	647
g58b5	BANCO	7216	N2S1	172.24.72.16	648
g56o16	BANCO	7227	N2S2	172.24.72.27	649
g56o5	BANCO	7238	N2S2	172.24.72.38	650
g56b16	BANCO	7249	N2S3	172.24.72.49	651
g56b5	BANCO	7260	N2S3	172.24.72.60	652
g54o16	BANCO	7271	N2S4	172.24.72.71	653
g54o5	BANCO	7282	N2S4	172.24.72.82	654
g58b15	BANCO	7204	N2S1	172.24.72.4	679
g58b4	BANCO	7215	N2S1	172.24.72.15	680
g56o15	BANCO	7226	N2S2	172.24.72.26	681
g56o4	BANCO	7237	N2S2	172.24.72.37	682
g56b15	BANCO	7248	N2S3	172.24.72.48	683
g56b4	BANCO	7259	N2S3	172.24.72.59	684
g54o15	BANCO	7270	N2S4	172.24.72.70	685
g54o4	BANCO	7281	N2S4	172.24.72.81	686
g58b14	BANCO	7203	N2S1	172.24.72.3	711
g58b3	BANCO	7214	N2S1	172.24.72.14	712
g56o14	BANCO	7225	N2S2	172.24.72.25	713
g56o3	BANCO	7236	N2S2	172.24.72.36	714
g56b14	BANCO	7247	N2S3	172.24.72.47	715
g56b3	BANCO	7258	N2S3	172.24.72.58	716
g54o14	BANCO	7269	N2S4	172.24.72.69	717
g54o3	BANCO	7280	N2S4	172.24.72.80	718
g58b13	BANCO	7202	N2S1	172.24.72.2	743
g58b2	BANCO	7213	N2S1	172.24.72.13	744
g56o13	BANCO	7224	N2S2	172.24.72.24	745
g56o2	BANCO	7235	N2S2	172.24.72.35	746
g56b13	BANCO	7246	N2S3	172.24.72.46	747
g56b2	BANCO	7257	N2S3	172.24.72.57	748
g54o13	BANCO	7268	N2S4	172.24.72.68	749
g54o2	BANCO	7279	N2S4	172.24.72.79	750
g58b12	BANCO	7201	N2S1	172.24.72.1	775
g58b1	BANCO	7212	N2S1	172.24.72.12	776
g56o12	BANCO	7223	N2S2	172.24.72.23	777
g56o1	BANCO	7234	N2S2	172.24.72.34	778
g56b12	BANCO	7245	N2S3	172.24.72.45	779
g56b1	BANCO	7256	N2S3	172.24.72.56	780
g54o12	BANCO	7267	N2S4	172.24.72.67	781
g54o1	BANCO	7278	N2S4	172.24.72.78	782
